320,代,"substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee"
321,第,No.; residence
322,題,topic; subject
323,待,wait; depend on
324,対,vis-a-vis; opposite; even; equal; versus; anti-; compare
325,想,concept; think; idea; thought
326,相,inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy
327,送,escort; send
328,息,breath; respiration; son; interest (on money)
329,速,quick; fast
330,族,tribe; family
331,他,other; another; the others
332,打,strike; hit; knock; pound; dozen
333,昔,once upon a time; antiquity; old times
334,全,whole; entire; all; complete; fulfill
335,整,organize; arranging; tune; tone; meter; key (music)
336,世,generation; world; society; public
337,植,plant
338,深,deep; heighten; intensify; strengthen
339,申,have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac
340,真,true; reality; Buddhist sect
341,神,gods; mind; soul
342,身,somebody; person; one's station in life
343,進,advance; proceed; progress; promote
344,所,place
345,暑,sultry; hot; summer heat
346,助,help; rescue; assist
347,勝,victory; win; prevail; excel
348,商,make a deal; selling; dealing in; merchant
349,昭,shining; bright
350,消,extinguish; blow out; turn off; neutralize; cancel
351,章,badge; chapter; composition; poem; design
352,乗,ride; power; multiplication; record; counter for vehicles; board; mount; join
353,集,gather; meet; congregate; swarm; flock
354,住,dwell; reside; live; inhabit
355,重,heavy; heap up; pile up; nest of boxes; -fold
356,宿,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling
357,酒,sake; alcohol
358,受,accept; undergo; answer (phone); take; get; catch; receive
359,州,state; province
360,拾,pick up; gather; find; go on foot; ten
361,終,end; finish
362,習,learn
363,取,take; fetch; take up
364,守,guard; protect; defend; obey
365,主,lord; chief; master; main thing; principal
366,者,someone; person
367,写,copy; be photographed; describe
368,式,style; ceremony; rite; function; method; system; form; expression
369,実,reality; truth
370,詩,poem; poetry
371,歯,tooth; cog
372,事,matter; thing; fact; business; reason; possibly
373,持,hold; have
374,次,next; order; sequence
375,指,finger; point to; indicate; put into; play (chess); measure (ruler)
376,死,death; die
377,始,commence; begin
378,皿,dish; a helping; plate
379,仕,attend; doing; official; serve
380,使,use
381,坂,slope; incline; hill
382,祭,ritual; offer prayers; celebrate; deify; enshrine; worship
383,号,nickname; number; item; title; pseudonym; name; call
384,根,root; radical; head (pimple)
385,港,harbor
386,向,yonder; facing; beyond; confront; defy; tend toward; approach
387,幸,happiness; blessing; fortune
388,湖,lake
389,庫,warehouse; storehouse
390,軽,lightly; trifling; unimportant
391,決,decide; fix; agree upon; appoint
392,血,blood
393,研,polish; study of; sharpen
394,県,prefecture
395,銀,silver
396,区,ward; district
397,苦,suffering; trial; worry; hardship; feel bitter; scowl
398,具,"tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture"
399,君,old boy; name-suffix
400,係,person in charge; connection; duty; concern oneself
401,橋,bridge
402,業,business; vocation; arts; performance
403,局,bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment
404,曲,bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean
405,去,gone; past; quit; leave; elapse; eliminate; divorce
406,起,rouse; wake up; get up
407,客,guest; visitor; customer; client
408,宮,Shinto shrine; constellations; palace; princess
409,急,hurry; emergency; sudden; steep
410,球,ball; sphere
411,究,research; study
412,級,class; rank; grade
413,期,period; time; date; term
414,館,building; mansion; large building; palace
415,岸,beach
416,寒,cold
417,感,emotion; feeling; sensation
418,漢,Sino-; China
419,界,world
420,開,open; unfold; unseal
421,階,storey; stair; counter for storeys of a building
422,運,carry; luck; destiny; fate; lot; transport; progress; advance
423,泳,swim
424,駅,station
425,央,center; middle
426,横,sideways; side; horizontal; width; woof
427,屋,roof; house; shop; dealer; seller
428,温,warm
429,化,change; take the form of; influence; enchant; delude; -ization
430,荷,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight
431,悪,bad; vice; rascal; false; evil; wrong
432,安,relax; cheap; low; quiet; rested; contented; peaceful
433,暗,darkness; disappear; shade; informal; grow dark; be blinded
434,委,committee; entrust to; leave to; devote; discard
435,意,idea; mind; heart; taste; thought; desire; care; liking
436,医,doctor; medicine
437,育,bring up; grow up; raise; rear
438,員,employee; member; number; the one in charge
439,飲,drink; smoke; take
440,院,Inst.; institution; temple; mansion; school
441,日,day; sun; Japan; counter for days
442,一,one; one radical (no.1)
443,国,country
444,人,person
445,年,year; counter for years
446,大,large; big
447,十,ten
448,二,two; two radical (no.2)
449,本,book; present; main; origin; true; real; counter for long cylindrical things
450,中,in; inside; middle; mean; center
451,長,long; leader
452,出,exit; leave; go out; come out; put out; protrude
453,三,three
454,時,time; hour
455,行,going; journey
456,見,see; hopes; chances; idea; opinion; look at; visible
457,月,month; moon
458,後,behind; back; later
